"Negocio ID","Nombre del negocio","Tipo de mercado","Probabilidad de Cierre","Consumo mensual","Etapa del negocio","Propietario del negocio","Subautopista","Fecha de creación","Última actividad","Fecha de cierre","Tiempo en la etapa actual","Fecha de la siguiente actividad","Costo de adquisición","Costo de instalación total","Costo Equipos","Costo de los intereses","Costo total","Costo Total Equipos + Intereses","Inversión del cliente","Tiene renting","Costo mensual renting","Payback Limite","Payback","Actualizar payback","Negocio ID"
"54729393312","RX SENO DIAGNOSTICO SAS - OP 1","Regulado","Won","4823","Reunión efectiva (Sales MR)","Andrea Pemberty","Comunidades Energéticas-Evolti","2026-01-27 13:15","2026-05-04 08:00","(Sin valor)","457:48:07","(Sin valor)","579025","702500","737567.05312338","282045.64111438","3408985.92","1019612.69423776","0","Sí","24273","6","(Sin valor)","(Sin valor)","54729393312"
"54740059258","UNIRED COLOMBIA S.A.S. ","Regulado","Bajo","4813612","Reunión efectiva (Sales MR)","Yoli Marin","Bia Network","2026-01-27 14:21","2026-05-06 08:00","2026-06-30 19:09","2503:09:40","(Sin valor)","554657995","984503985","3484904272","(Sin valor)","1539161980","(Sin valor)","0","No","49423022.93818998","8","(Sin valor)","(Sin valor)","54740059258"
"54740307053","Comidas Rapidas La Barra 84 ","Regulado","Bajo","2251.5","Reunión agendada (Sales MR)","Hector Steffan Camargo Rua","D2D","2026-01-27 18:01","2026-04-17 09:28","2026-05-30 14:36","2974:55:53","(Sin valor)","258865","504150.44","840041.52967641","(Sin valor)","763015.44","(Sin valor)","0","Sí","24273","6","5.34797621","(Sin valor)","54740307053"
"54835612983","Al Pharma ","Regulado","Bajo","9800","Análisis comercial (Sales MR)","Andrés Toro García","IA","2026-01-28 08:24","2026-05-26 19:00","2026-05-12 07:47","2837:46:08","(Sin valor)","1127000","6935000","1151081.05312338","440173.39471438","8062000","1591254.44783776","4703192.76357307","Sí","33260.48703","9","21.60231144","(Sin valor)","54835612983"
"55043843359","Hotel Vista Mar","Regulado","(Sin valor)","(Sin valor)","Reunión agendada (Sales MR)","Hector Steffan Camargo Rua","D2D","2026-01-29 18:13","2026-05-04 09:04","(Sin valor)","2926:43:42","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","55043843359"
"55072960815","COMERCIALIZADORA GOYJUL SAS","Regulado","Bajo","66600","Análisis comercial (Sales MR)","Daniela Dueñas Camacho","Performance","2026-01-30 11:15","2026-05-28 09:12","2026-06-30 17:09","2735:54:56","2026-06-01 17:00","7659000","7740000","11915567.05312338","4556512.84111438","15399000","16472079.89423776","0","No","344300.31","18","12.56626039","(Sin valor)","55072960815"
"55074808951","Vasconia panadería pastelería y restaurante","Regulado","Bajo","17100","Documentos para firma (Sales MR)","Andrés Toro García","Performance","2026-01-30 09:45","2026-05-26 19:00","2026-05-21 16:00","1974:49:55","(Sin valor)","1966500","4935000","3823291.22685586","1462026.56514968","6901500","5285317.79200554","0","Sí","110474","12","10.59817013","(Sin valor)","55074808951"
"55307888522","2026 Unicentro Valledupar ","Regulado","Bajo","82090","Análisis comercial (Sales MR)","Daniela Dueñas Camacho","Bia Network","2026-02-03 12:48","2026-05-19 17:00","2026-06-30 17:09","2784:00:55","2026-06-01 17:00","9440350","6723353","11122172.05312338","4253118.59311438","16163703","15375290.64623776","0","No","321375.161475","12","8.13156557","(Sin valor)","55307888522"
"55371803456","CONJUNTO RESIDENCIAL CONUNTRY MASAI ","Regulado","Bajo","14560","Análisis comercial (Sales MR)","Andrés Toro García","Performance","2026-02-03 15:34","2026-05-26 19:00","2026-06-25 07:46","2683:01:45","(Sin valor)","1674400","3315711","1151081.05312338","440173.39471438","4990111","1591254.44783776","0","Sí","33260.48703","9","6.82590009","(Sin valor)","55371803456"
"55383064425","Restaurante los amigos","Regulado","Bajo","1962","Reunión efectiva (Sales MR)","Hector Steffan Camargo Rua","D2D","2026-02-03 11:29","2026-04-13 14:06","2026-03-31 18:11","2289:41:30","(Sin valor)","225630","473558.61","546184.46097941","(Sin valor)","699188.61","(Sin valor)","0","Sí","15782","8","5.57108041","(Sin valor)","55383064425"
"55389554824","Upselling CONJUNTO PARQUE RESIDENCIAL SAN JUAN PLAZA ","Regulado","Bajo","8080","Documentos para firma (Sales MR)","Juan Pablo Blanco Lugo","Upselling Inbound","2026-02-02 11:47","2026-05-29 10:00","2026-06-05 22:22","888:19:12","(Sin valor)","929200","1459426","1151081.05312338","0","2388626","1591254.44783776","0","No","33260.48703","15","8.00637913","(Sin valor)","55389554824"
"55399143050","Jungla barbershop","Regulado","(Sin valor)","(Sin valor)","Reunión agendada (Sales MR)","Hector Steffan Camargo Rua","D2D","2026-02-03 09:34","2026-04-30 09:13","(Sin valor)","2815:23:03","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","55399143050"
"55405050007","Mercantil Continental SAS","Regulado","Bajo","7171","Análisis comercial (Sales MR)","Andrés Toro García","Awareness","2026-02-02 12:51","2026-05-26 08:00","2026-05-22 07:46","2783:46:44","(Sin valor)","824665","1446389","546184.46097941","208860.93787853","2271054","755045.39885793","19476.13771263","No","15782","9","9.0582997","(Sin valor)","55405050007"
"55408248683","LITOPLAS S.A.","No regulado","Bajo","(Sin valor)","Análisis comercial (Sales MNR)","María Paula Pico Loaiza","Bia Network","2026-02-02 11:32","(Sin valor)","2026-06-30 18:21","1082:20:14","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","No","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","55408248683"
"55411165220","Plasprinter Sas","Regulado","Bajo","13378","Análisis comercial (Sales MR)","Andrés Toro García","Awareness","2026-02-02 14:59","2026-05-26 19:00","2026-06-19 07:46","2784:07:42","(Sin valor)","1538470","705000","546184.46097941","208860.93787853","2243470","755045.39885793","0","No","15782","6","5.88570644","(Sin valor)","55411165220"
"55433796362","La nueva Plaza Campesina ","Regulado","(Sin valor)","2330","Reunión agendada (Sales MR)","Hector Steffan Camargo Rua","D2D","2026-02-03 09:17","2026-04-17 09:28","(Sin valor)","2815:39:45","(Sin valor)","267950","312580","840041.52967641","(Sin valor)","580530","(Sin valor)","0","Sí","24273","6","3.89504816","(Sin valor)","55433796362"
"55454974377","Wecafe","Regulado","Bajo","3024","Documentos para firma (Sales MR)","Hector Steffan Camargo Rua","D2D","2026-02-03 14:26","2026-04-17 09:28","2026-03-31 16:10","2622:14:00","(Sin valor)","347760","312580","840041.52967641","(Sin valor)","660340","(Sin valor)","0","Sí","24273","6","3.41373578","(Sin valor)","55454974377"
"55460104601","Restaurante y refresquería el sabor de la 35","Regulado","(Sin valor)","768","Reunión agendada (Sales MR)","Hector Steffan Camargo Rua","D2D","2026-02-03 10:02","2026-04-17 09:28","(Sin valor)","2814:54:32","(Sin valor)","88320","473558.61","546184.46097941","(Sin valor)","561878.61","(Sin valor)","0","Sí","15782","12","11.43734877","(Sin valor)","55460104601"
"55475356724","El Corralito Gourmet ","Regulado","(Sin valor)","(Sin valor)","Reunión agendada (Sales MR)","Hector Steffan Camargo Rua","D2D","2026-02-04 00:49","2026-04-17 09:28","(Sin valor)","2800:07:57","(Sin valor)","229310","312580","(Sin valor)","(Sin valor)","541890","(Sin valor)","0","Sí","24273","6","4.24844566","(Sin valor)","55475356724"
"55490379525","CENTRO COMERCIAL PLAZA DE LAS AMERICAS","Regulado","Medio","23028.95","Análisis comercial (Sales MR)","Andrés Toro García","BDR","2026-02-05 12:40","2026-05-26 19:00","2026-05-21 07:46","2409:17:18","(Sin valor)","2648220","1410000","1092368.92195882","417721.87575705","4058220","1510090.79771587","0","No","31564","9","6.3496641","(Sin valor)","55490379525"
"55506042649","CUSTOMER OPERATION SUCCESS SAS","No regulado","Alto","98000","Carta de intención (Sales MNR)","Alexandra Murillo Fagua","Awareness","2026-02-04 11:53","2026-05-30 18:00","2026-05-31 08:45","1993:36:52","2026-06-04 18:00","5880000","7740000","10943567.05312338","4184820.04111438","13620000","15128387.09423776","0","No","316214.37","15","8.80536961","(Sin valor)","55506042649"
"55511865617","Bello Santander restaurante","Regulado","Bajo","1280","Reunión efectiva (Sales MR)","Hector Steffan Camargo Rua","D2D","2026-02-05 14:39","2026-04-13 14:16","2026-03-26 17:56","2344:49:05","(Sin valor)","147200","473558.61","546184.46097941","(Sin valor)","620758.61","(Sin valor)","0","Sí","15782","8","7.58153017","(Sin valor)","55511865617"
"55516356975","Durman Colombia SAS","No regulado","Medio","596609","Carta de intención (Sales MNR)","María Paula Pico Loaiza","Awareness","2026-02-05 14:25","2026-05-26 04:54","2026-06-30 16:58","1946:40:07","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","No","(Sin valor)","(Sin valor)","(Sin valor)","(Sin valor)","55516356975"
